City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Punta Arenas,CL,-53.15,-70.9167,48.31,66,75,21.85,broken clouds
80,Worcester,US,42.3334,-71.8328,50.81,83,6,4.83,clear sky
81,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
82,Lagoa,PT,39.05,-27.9833,70.38,92,0,11.05,clear sky
83,Ilulissat,GL,69.2167,-51.1,14.23,62,66,5.12,broken clouds
84,Ribeira Grande,PT,38.5167,-28.7,70.77,88,5,1.99,clear sky
85,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,35,10.13,scattered clouds
86,Ola,RU,59.5833,151.2833,28.15,75,50,3.22,scattered clouds
87,Lebu,CL,-37.6167,-73.65,49.15,83,0,22.44,clear sky
88,Ambilobe,MG,-13.2,49.05,63.7,72,0,4.03,clear sky
89,Kalmar,SE,56.6616,16.3616,46.96,100,13,3.44,few clouds
90,Kovdor,RU,67.5662,30.4758,33.53,87,1,7.49,clear sky
91,Valle Hermoso,MX,25.6667,-97.8333,82.26,55,21,10.49,few clouds
92,Codajas,BR,-3.8367,-62.0569,84.49,39,100,1.72,overcast clouds
93,Vazante,BR,-17.9869,-46.9078,74.14,77,100,3.09,moderate rain
94,Walvis Bay,NA,-22.9575,14.5053,58.08,93,83,5.57,broken clouds
95,Wakkanai,JP,45.4094,141.6739,53.58,82,75,11.5,broken clouds
96,Upernavik,GL,72.7868,-56.1549,11.21,72,23,5.39,few clouds
97,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,100,8.05,mist
98,Atasu,KZ,48.6814,71.6433,37.99,76,6,4.14,clear sky
99,Iqaluit,CA,63.7506,-68.5145,28.13,79,100,15.01,overcast clouds
100,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,92,44,6.42,scattered clouds
101,Mandan,US,46.8267,-100.8896,58.37,67,20,9.22,few clouds
102,Valdivia,CL,-39.8142,-73.2459,50.09,84,0,3.04,clear sky
103,Kaeo,NZ,-35.1,173.7833,66.33,74,98,10.2,overcast clouds
104,Grants Pass,US,42.439,-123.3284,88.39,28,0,8.05,clear sky
105,Bucerias,MX,20.75,-105.3333,80.69,85,0,2.42,clear sky
106,Nome,US,64.5011,-165.4064,35.67,56,100,13.8,overcast clouds
107,Tessalit,ML,20.1986,1.0114,83.73,18,5,10.74,clear sky
108,Namatanai,PG,-3.6667,152.4333,84.99,53,67,8.01,broken clouds
109,Isangel,VU,-19.55,169.2667,79.18,71,19,17.81,few clouds
110,Albino,IT,45.7638,9.7964,61.36,94,75,3.44,broken clouds
111,Coahuayana,MX,18.7333,-103.6833,79.84,88,3,2.21,clear sky
112,Tasiilaq,GL,65.6145,-37.6368,26.02,92,100,8.48,overcast clouds
113,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,75,14.97,broken clouds
114,Sao Joao De Pirabas,BR,-0.7747,-47.1772,79.7,81,12,7.96,few clouds
115,San Patricio,US,28.017,-97.5169,82.26,60,5,11.45,clear sky
116,Aklavik,CA,68.2191,-135.0107,33.15,92,100,19.53,overcast clouds
117,Lavrentiya,RU,65.5833,-171.0,32.09,54,8,13.31,clear sky
118,Cherskiy,RU,68.75,161.3,20.53,92,100,17.69,overcast clouds
119,Panalingaan,PH,8.7842,117.4231,81.79,79,100,3.06,overcast clouds
120,Hami,CN,42.8,93.45,55.06,18,0,1.28,clear sky
121,Nanlong,CN,31.3533,106.0631,57.99,65,100,2.53,overcast clouds
122,Zhanaozen,KZ,43.3,52.8,57.47,33,92,25.52,overcast clouds
123,Rawson,AR,-43.3002,-65.1023,55.31,40,0,17.96,clear sky
124,Piet Retief,ZA,-27.0071,30.8132,62.49,56,91,2.37,overcast clouds
125,Caravelas,BR,-17.7125,-39.2481,75.34,82,0,6.55,clear sky
126,Beringovskiy,RU,63.05,179.3167,34.34,44,13,7.2,few clouds
127,High Rock,BS,26.6208,-78.2833,77.02,76,10,10.13,clear sky
128,Qidong,CN,31.8128,121.6561,58.93,44,0,18.14,clear sky
129,Lompoc,US,34.6391,-120.4579,69.01,84,100,10.36,overcast clouds
130,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,22,3.13,few clouds
131,Nikolskoye,RU,59.7035,30.7861,42.8,96,9,5.23,clear sky
132,Markova,UA,48.6758,24.4138,39.99,92,1,2.48,clear sky
133,Kristiinankaupunki,FI,62.2743,21.376,49.98,89,100,16.17,overcast clouds
134,Osmena,PH,10.5208,119.9258,83.71,71,47,11.52,scattered clouds
135,Mehamn,NO,71.0357,27.8492,44.55,81,100,20.71,overcast clouds
136,Emba,KZ,48.8264,58.1442,46.58,51,0,6.51,clear sky
137,Krasnoshchekovo,RU,51.6708,82.7289,45.37,84,99,12.41,overcast clouds
138,Barrow,US,71.2906,-156.7887,33.82,80,100,10.36,overcast clouds
139,Bayburt,TR,40.2589,40.2278,45.91,88,8,2.19,clear sky
140,Norman Wells,CA,65.282,-126.8329,53.64,62,75,5.75,broken clouds
141,Lorengau,PG,-2.0226,147.2712,84.56,57,89,10.58,overcast clouds
142,Esperance,AU,-33.8667,121.9,60.64,81,89,12.44,overcast clouds
143,Port Keats,AU,-14.25,129.55,92.46,40,75,8.93,broken clouds
144,Grand Gaube,MU,-20.0064,57.6608,70.38,69,13,5.01,few clouds
145,Kabalo,CD,-6.05,26.9167,70.45,65,10,3.04,clear sky
146,Sapa,PH,5.1544,120.3241,83.16,75,100,5.66,overcast clouds
147,Samarai,PG,-10.6167,150.6667,83.52,74,91,14.54,overcast clouds
148,Husavik,IS,66.0449,-17.3389,33.48,98,100,39.75,snow
149,Qaanaaq,GL,77.484,-69.3632,7.47,71,16,7.61,few clouds
150,Bulgan,MN,48.8125,103.5347,33.22,52,9,2.57,clear sky
151,Nuuk,GL,64.1835,-51.7216,34.56,97,100,14.94,light snow
152,Vardo,NO,70.3705,31.1107,40.98,81,100,12.66,overcast clouds
153,Mbanza-Ngungu,CD,-5.25,14.8667,71.17,87,99,4.07,overcast clouds
154,Moerai,PF,-22.4333,-151.3333,71.6,79,41,27.94,light rain
155,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,93,100,6.91,overcast clouds
156,Kampene,CD,-3.6,26.6667,64.81,84,24,2.17,few clouds
157,Rorvik,NO,64.8621,11.2373,51.91,62,20,10.36,few clouds
158,Kamenka,RU,51.3223,42.7678,53.37,65,100,7.23,overcast clouds
159,Huicheng,CN,23.0385,116.2899,69.13,66,83,14.99,broken clouds
160,Santa Cecilia,BR,-26.9608,-50.4269,53.64,99,100,4.25,overcast clouds
161,Provideniya,RU,64.3833,-173.3,35.71,60,20,8.99,few clouds
162,Flin Flon,CA,54.7682,-101.865,49.01,68,100,6.53,overcast clouds
163,Juneau,US,58.3019,-134.4197,53.6,88,75,6.91,shower rain
164,Yonago,JP,35.4333,133.3333,64.33,77,75,12.66,broken clouds
165,Gulu,UG,2.7746,32.299,64.09,95,100,4.74,light rain
166,Peniche,PT,39.3558,-9.3811,60.3,94,48,4.21,scattered clouds
167,Hirara,JP,24.8,125.2833,76.86,88,75,24.16,broken clouds
168,Uusikaupunki,FI,60.8004,21.4084,51.49,86,100,16.11,overcast clouds
169,Meulaboh,ID,4.1363,96.1285,78.1,81,95,2.95,overcast clouds
170,Abu Dhabi,AE,24.4667,54.3667,82.42,69,0,1.14,clear sky
171,Huilong,CN,31.8111,121.655,58.93,44,0,18.14,clear sky
172,Hasaki,JP,35.7333,140.8333,64.8,88,96,22.97,overcast clouds
173,Rawlins,US,41.7911,-107.2387,58.35,29,36,6.33,scattered clouds
174,Kenora,CA,49.8167,-94.4337,47.37,42,20,4.61,few clouds
175,Boguchany,RU,58.3814,97.4531,39.2,88,100,3.09,overcast clouds
176,Laguna,US,38.421,-121.4238,91.76,37,0,5.75,clear sky
177,Sumbe,AO,-11.2061,13.8437,72.73,86,2,5.93,clear sky
178,Toamasina,MG,-18.1667,49.3833,64.4,94,40,0.0,scattered clouds
179,Kushima,JP,31.4583,131.2333,71.58,62,2,13.65,clear sky
180,Berlevag,NO,70.8578,29.0864,44.6,87,100,20.71,overcast clouds
181,Souillac,MU,-20.5167,57.5167,70.18,73,20,11.5,light rain
182,Khatanga,RU,71.9667,102.5,1.44,98,30,4.23,scattered clouds
183,La Asuncion,VE,11.0333,-63.8628,82.13,78,100,11.5,overcast clouds
184,Saint-Georges,GD,12.0564,-61.7485,78.48,89,75,0.0,broken clouds
185,Itarema,BR,-2.9248,-39.9167,78.93,82,17,17.69,few clouds
186,Santa Helena,BR,-2.2311,-45.3,73.83,94,69,3.44,broken clouds
187,Ulladulla,AU,-35.35,150.4667,55.33,66,81,4.63,broken clouds
188,Dukat,RU,62.55,155.55,16.65,80,25,2.75,scattered clouds
189,Uglich,RU,57.5275,38.3317,41.88,94,94,4.83,overcast clouds
190,Manyana,BW,-23.4,21.7167,67.3,22,0,8.61,clear sky
191,Klaksvik,FO,62.2266,-6.589,43.72,77,99,35.52,light rain
192,Tual,ID,-5.6667,132.75,83.55,74,82,10.65,broken clouds
193,Mayo,US,38.8876,-76.5119,55.11,83,0,7.2,clear sky
194,Mahebourg,MU,-20.4081,57.7,70.25,73,20,11.5,few clouds
195,Torbay,CA,47.6666,-52.7314,46.49,90,20,9.22,few clouds
196,Touros,BR,-5.1989,-35.4608,76.95,83,19,13.42,few clouds
197,Omboue,GA,-1.5746,9.2618,76.3,89,100,5.21,moderate rain
198,Statesville,US,35.7826,-80.8873,58.35,61,0,0.0,clear sky
199,Tanete,ID,-3.9443,119.7848,83.48,74,89,3.2,overcast clouds
200,Berdigestyakh,RU,62.0989,126.6992,32.99,98,100,5.23,light snow
201,Yellowknife,CA,62.456,-114.3525,50.56,76,75,15.01,broken clouds
202,Brokopondo,SR,4.75,-55.1667,77.16,86,100,8.95,overcast clouds
203,Narsaq,GL,60.9167,-46.05,36.91,98,100,4.56,moderate rain
204,Kaitangata,NZ,-46.2817,169.8464,60.91,54,100,7.4,overcast clouds
205,Maceio,BR,-9.6658,-35.7353,76.44,88,40,5.75,scattered clouds
206,Eqbaliyeh,IR,35.3022,51.5358,67.82,22,0,2.15,clear sky
207,Avera,US,33.194,-82.5271,63.91,74,0,7.4,clear sky
208,Tarko-Sale,RU,64.9225,77.785,41.81,92,100,16.4,overcast clouds
209,Uttarkashi,IN,30.7333,78.45,63.34,75,40,3.78,scattered clouds
210,San Cristobal,VE,7.7669,-72.225,69.98,99,100,2.19,overcast clouds
211,Oranjemund,NA,-28.55,16.4333,58.66,88,100,3.29,overcast clouds
212,Casper,US,42.8666,-106.3131,64.72,27,6,3.0,clear sky
213,Bubaque,GW,11.2833,-15.8333,81.1,77,11,5.57,few clouds
214,Chernyshevskiy,RU,63.0128,112.4714,32.09,96,100,5.55,overcast clouds
215,Praya,CV,14.9215,-23.5087,77.22,80,60,10.76,broken clouds
216,Calvinia,ZA,-31.4707,19.776,64.24,41,100,9.28,overcast clouds
217,Lincoln,US,40.8,-96.667,68.16,47,7,3.49,clear sky
218,Dandong,CN,40.1292,124.3947,38.7,80,99,13.44,overcast clouds
219,Kirakira,SB,-10.4544,161.9205,84.13,72,49,5.91,scattered clouds
220,Carutapera,BR,-1.195,-46.02,78.66,80,28,6.91,scattered clouds
221,Chokurdakh,RU,70.6333,147.9167,22.03,92,100,12.62,overcast clouds
222,Victoria,HK,22.2855,114.1577,74.97,59,24,18.01,few clouds
223,Mbigou,GA,-1.9005,11.906,67.57,99,100,2.39,light rain
224,Xining,CN,36.6167,101.7667,41.14,36,100,1.68,overcast clouds
225,Zhezkazgan,KZ,47.8043,67.7144,33.78,75,0,4.47,clear sky
226,Hofn,IS,64.2539,-15.2082,41.09,57,100,26.44,overcast clouds
227,Okhotsk,RU,59.3833,143.3,29.55,46,27,9.24,scattered clouds
228,East London,ZA,-33.0153,27.9116,65.14,75,99,8.08,overcast clouds
229,Esik,KZ,43.3552,77.4525,35.02,66,8,3.56,clear sky
230,Saskylakh,RU,71.9167,114.0833,8.19,95,89,8.95,overcast clouds
231,Luba,GQ,3.4568,8.5547,76.89,86,99,6.2,overcast clouds
232,Komsomolskiy,UZ,40.4272,71.7189,52.52,54,32,4.61,scattered clouds
